epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,207.061,0.58564,0.33041,0.84473,0.97879,0.9891,0.99391,0.81715,0.588,0.30843,0.80296,0.0006271,0.0006271,0.0006271
115,208.879,0.57928,0.32307,0.84928,0.99163,0.99066,0.99408,0.81698,0.5798,0.3035,0.80699,0.0006238,0.0006238,0.0006238
116,210.709,0.58632,0.31819,0.84642,0.98603,0.98961,0.99355,0.81051,0.60272,0.30038,0.80543,0.0006205,0.0006205,0.0006205
117,212.593,0.57194,0.32469,0.85062,0.98846,0.99562,0.9943,0.818,0.58683,0.29712,0.80475,0.0006172,0.0006172,0.0006172
118,214.4,0.57799,0.32274,0.84493,0.99037,0.99625,0.99474,0.80876,0.60454,0.30033,0.81088,0.0006139,0.0006139,0.0006139
119,216.223,0.5766,0.3197,0.83958,0.99168,0.99445,0.99434,0.81164,0.58808,0.29681,0.80738,0.0006106,0.0006106,0.0006106
120,218.075,0.59208,0.32396,0.84629,0.98985,0.995,0.99397,0.81109,0.59458,0.30105,0.80682,0.0006073,0.0006073,0.0006073
121,219.899,0.60086,0.32825,0.84882,0.9892,0.99542,0.99412,0.81616,0.59298,0.29866,0.80347,0.000604,0.000604,0.000604
122,221.723,0.57819,0.31366,0.84492,0.98889,0.995,0.99438,0.82381,0.58442,0.29892,0.80077,0.0006007,0.0006007,0.0006007
123,223.489,0.56826,0.31248,0.84625,0.98774,0.99667,0.99436,0.82512,0.572,0.29087,0.79889,0.0005974,0.0005974,0.0005974
124,225.285,0.55224,0.30661,0.84149,0.98891,0.99443,0.99418,0.81985,0.59141,0.29423,0.80179,0.0005941,0.0005941,0.0005941
125,227.08,0.57579,0.31278,0.84199,0.99045,0.99542,0.99391,0.82007,0.57353,0.29235,0.79993,0.0005908,0.0005908,0.0005908
126,228.847,0.56035,0.31275,0.83965,0.99069,0.99421,0.99396,0.81701,0.58002,0.29234,0.80291,0.0005875,0.0005875,0.0005875
